Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
Horatio Alger Jr.,,Fame and Fortune,1868,Ragged Dick,2,N,
Horatio Alger Jr.,,Mark the Match Boy,1869,Ragged Dick,3,N,
Horatio Alger Jr.,,Rough and Ready,1869,Ragged Dick,4,N,
Horatio Alger Jr.,,Ben the Luggage Boy,1870,Ragged Dick,5,N,
Horatio Alger Jr.,,Rufus and Rose,1870,Ragged Dick,6,N,
