Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
A. A. Milne,,When We Were Very Young,1924,Winnie-the-Pooh,1,Y,Research needed to see if we need a poetry omnibus.
A. A. Milne,,Now We Are Six,1927,Winnie-the-Pooh,3,N,
A. A. Milne,,The House at Pooh Corner,1928,Winnie-the-Pooh,4,Y,Remove illustrations.
