Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
J. K. Rowling,,Harry Potter and the Philosopher’s Stone,1997,Harry Potter,1,N,
J. K. Rowling,,Harry Potter and the Chamber of Secrets,1998,Harry Potter,2,N,
J. K. Rowling,,Harry Potter and the Prisoner of Azkaban,1999,Harry Potter,3,N,
J. K. Rowling,,Harry Potter and the Goblet of Fire,2000,Harry Potter,4,N,
J. K. Rowling,,Harry Potter and the Order of the Phoenix,2003,Harry Potter,5,N,
J. K. Rowling,,Harry Potter and the Half-Blood Prince,2005,Harry Potter,6,N,
J. K. Rowling,,Harry Potter and the Deathly Hallows,2007,Harry Potter,7,N,
