Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
Johnston McCulley,,Zorro Rides Again,1931,Zorro,3,N,
Johnston McCulley,,Zorro Stories,1932,Zorro,4,N,
Johnston McCulley,,The Sign of Zorro,1941,Zorro,5,N,
