Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
J. R. R. Tolkien,,The Two Towers,1954,The Lord of the Rings,2,N,
J. R. R. Tolkien,,The Return of the King,1955,The Lord of the Rings,3,N,
