Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
Gaston Leroux,Eveleigh Nash,The Perfume of the Woman in Black,1911,Rouletabille,2,N,
Gaston Leroux,The Macaulay Company,The Secret of the Night,1914,Rouletabille,3,N,
Gaston Leroux,Brian Stableford,Rouletabille at Krupp’s,2013,Rouletabille,5,N,
Gaston Leroux,The Macaulay Company,The Phantom Clue,1926,Rouletabille,6,N,
Gaston Leroux,The Macaulay Company,The Octopus of Paris,1927,Rouletabille,7,N,
