Author,Work,Great Books 1952,Great Books 1990,Suitable for SE,Exists on SE,Exists elsewhere,Additional collections
Plato,Statesman,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1738,Dialogues
Plato,Philebus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1744,Dialogues
Plato,Laws,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1750,Dialogues
Plato,The Seventh Letter,✔,✔,Yes,,,
Aristotle,Categories,✔,✔,Yes,,https://gutenberg.org/ebooks/2412,Organon
Aristotle,On Interpretation,✔,✔,Yes,,,Organon
Aristotle,Prior Analytics,✔,✔,Yes,,,Organon
Aristotle,Posterior Analytics,✔,✔,Yes,,,Organon
Aristotle,Topics,✔,✔,Yes,,,Organon
Aristotle,Sophistical Refutations,✔,✔,Yes,,,Organon
Aristotle,Physics,✔,✔,Yes,,,
Aristotle,On the Heavens,✔,✔,Yes,,,
Aristotle,On Generation and Corruption,✔,✔,Yes,,,
Aristotle,Meteorology,✔,✔,Yes,,,
Aristotle,Metaphysics,✔,✔,Yes,,,
Aristotle,On the Soul,✔,✔,Yes,,,
Aristotle,Minor biological works,✔,✔,"Yes, omnibus?",,,
Aristotle,History of Animals,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/59058,
Aristotle,Parts of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Motion of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Gait of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Generation of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,Nicomachean Ethics,✔,✔,Yes,aristotle/nicomachean-ethics/f-h-peters,—,—
Aristotle,Politics,✔,✔,Yes,,https://gutenberg.org/ebooks/6762,
Aristotle,The Athenian Constitution,✔,✔,???,,https://gutenberg.org/ebooks/26095,
Aristotle,Rhetoric,✔,✔,???,,https://gutenberg.org/ebooks/26095,
Aristotle,Poetics,✔,✔,Yes,,https://gutenberg.org/ebooks/1974,
Hippocrates,Works (is this the Hippocratic Corpus?),✔,✔,Yes,,https://gutenberg.org/ebooks/1974,
Galen,On the Natural Faculties,✔,✔,Yes,,https://gutenberg.org/ebooks/43383,
Euclid,The Thirteen Books of Euclid’s Elements,✔,✔,Yes,,https://gutenberg.org/ebooks/21076,
Archimedes,On the Sphere and Cylinder,✔,✔,Yes,,,
Archimedes,Measurement of a Circle,✔,✔,Yes,,,
Archimedes,On Conoids and Spheroids,✔,✔,Yes,,,
Archimedes,On Spirals,✔,✔,Yes,,,
Archimedes,On the Equilibrium of Planes,✔,✔,Yes,,,
Archimedes,The Sand Reckoner,✔,✔,Yes,,,
Archimedes,The Quadrature of the Parabola,✔,✔,Yes,,,
Archimedes,On Floating Bodies,✔,✔,Yes,,,
Archimedes,Book of Lemmas,✔,✔,Yes,,,
Archimedes,The Method Treating of Mechanical Problems,✔,✔,Yes,,https://gutenberg.org/ebooks/7825,
Apollonius of Perga,On Conic Sections,✔,✔,???,,,
Nichomachus of Gerasa,Introduction to Arithmetic,✔,✔,???,,,
Lucretius,On the Nature of Things,✔,✔,Yes,,https://gutenberg.org/ebooks/785,
Epictetus,The Discourses,✔,✔,Yes,,,
Marcus Aurelius,The Meditations,✔,✔,Yes,marcus-aurelius/meditations/george-long,—,—
Virgil,Eclogues,✔,✔,Yes,,https://gutenberg.org/ebooks/230,
Virgil,Georgics,✔,✔,Yes,,https://gutenberg.org/ebooks/232,
Virgil,Aeneid,✔,✔,Yes,virgil/the-aeneid/john-dryden,—,—
Plutarch,The Lives of the Noble Grecians and Romans,✔,✔,Yes,,"https://gutenberg.org/ebooks/14033
https://gutenberg.org/ebooks/14114
https://gutenberg.org/ebooks/14140
https://gutenberg.org/ebooks/44315",
Tacitus,The Annals,✔,✔,Yes,,https://gutenberg.org/ebooks/7959,
Tacitus,The Histories,✔,✔,Yes,,https://gutenberg.org/ebooks/16927,
Ptolemy,Almagest,✔,✔,Yes,,,
Nicolaus Copernicus,On the Revolutions of Heavenly Spheres,✔,✔,Yes,,,
Johannes Kepler,Epitome of Copernican Astronomy,✔,✔,Yes,,,
Johannes Kepler,The Harmonies of the World,✔,✔,Yes,,,
Plotinus,The Six Enneads,✔,✔,Yes,,"https://gutenberg.org/ebooks/42930
https://gutenberg.org/ebooks/42931
https://gutenberg.org/ebooks/42932
https://gutenberg.org/ebooks/42933",
Augustine of Hippo,Confessions,✔,✔,Yes,,https://gutenberg.org/ebooks/3296,
Augustine of Hippo,The City of God,✔,✔,Yes,,"https://gutenberg.org/ebooks/45304
https://gutenberg.org/ebooks/45305",
Augustine of Hippo,On Christian Doctrine,✔,✔,Yes,,,
Thomas Aquinas,Summa Theologica,✔,✔,Yes,,"https://gutenberg.org/ebooks/17611
https://gutenberg.org/ebooks/17897
https://gutenberg.org/ebooks/18755
https://gutenberg.org/ebooks/19950",
Dante,Divine Comedy,✔,✔,Yes,dante-alighieri/the-divine-comedy/henry-wadsworth-longfellow,—,—
Geoffrey Chaucer,Troilus and Criseyde,✔,✔,Yes,,https://gutenberg.org/ebooks/257,
Geoffrey Chaucer,The Canterbury Tales,✔,✔,Yes,,"https://gutenberg.org/ebooks/2383
https://gutenberg.org/ebooks/22120",
Niccolò Machiavelli,The Prince,✔,✔,Yes,niccolo-machiavelli/the-prince/w-k-marriott,—,—
Thomas Hobbes,Leviathan,✔,✔,Yes,,https://gutenberg.org/ebooks/3207,
François Rabelais,Gargantua and Pantagruel,✔,✔,Yes,,https://gutenberg.org/ebooks/1200,
William Shakespeare,The First Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-i,—,—
William Shakespeare,The Second Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-ii,—,—
William Shakespeare,The Third Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-iii,—,—
William Shakespeare,The Tragedy of Richard the Third,✔,✔,Yes,william-shakespeare/richard-iii,—,—
William Shakespeare,The Comedy of Errors,✔,✔,Yes,william-shakespeare/the-comedy-of-errors,—,—
William Shakespeare,Titus Andronicus,✔,✔,Yes,,,
William Shakespeare,The Taming of the Shrew,✔,✔,Yes,,,
William Shakespeare,The Two Gentlemen of Verona,✔,✔,Yes,,,
William Shakespeare,Love’s Labour’s Lost,✔,✔,Yes,,,
William Shakespeare,Romeo and Juliet,✔,✔,Yes,william-shakespeare/romeo-and-juliet,—,—
William Shakespeare,The Tragedy of King Richard the Second,✔,✔,Yes,,,
William Shakespeare,A Midsummer Night’s Dream,✔,✔,Yes,william-shakespeare/a-midsummer-nights-dream,—,—
William Shakespeare,The Life and Death of King John,✔,✔,Yes,,,
William Shakespeare,The Merchant of Venice,✔,✔,Yes,,,
William Shakespeare,The First Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-i,—,—
William Shakespeare,The Second Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-ii,—,—
William Shakespeare,Much Ado About Nothing,✔,✔,Yes,william-shakespeare/much-ado-about-nothing,—,—
William Shakespeare,The Life of King Henry the Fifth,✔,✔,Yes,william-shakespeare/henry-v,—,—
William Shakespeare,Julius Caesar,✔,✔,Yes,william-shakespeare/julius-caesar,—,—
William Shakespeare,As You Like It,✔,✔,Yes,william-shakespeare/as-you-like-it,—,—
William Shakespeare,"Twelfth Night; or, What You Will",✔,✔,Yes,william-shakespeare/twelfth-night,—,—
William Shakespeare,"The Tragedy of Hamlet, Prince of Denmark",✔,✔,Yes,william-shakespeare/hamlet,—,—
William Shakespeare,The Merry Wives of Windsor,✔,✔,Yes,william-shakespeare/the-merry-wives-of-windsor,—,—
William Shakespeare,Troilus and Cressida,✔,✔,Yes,,,
William Shakespeare,All’s Well That Ends Well,✔,✔,Yes,,,
William Shakespeare,Measure for Measure,✔,✔,Yes,,,
William Shakespeare,"Othello, the Moor of Venice",✔,✔,Yes,william-shakespeare/othello,—,—
William Shakespeare,King Lear,✔,✔,Yes,william-shakespeare/king-lear,—,—
William Shakespeare,Macbeth,✔,✔,Yes,william-shakespeare/macbeth,—,—
William Shakespeare,Antony and Cleopatra,✔,✔,Yes,,,
William Shakespeare,Coriolanus,✔,✔,Yes,,,
William Shakespeare,Timon of Athens,✔,✔,Yes,,,
William Shakespeare,"Pericles, Prince of Tyre",✔,✔,Yes,,,
William Shakespeare,Cymbeline,✔,✔,Yes,,,
William Shakespeare,The Winter’s Tale,✔,✔,Yes,,,
William Shakespeare,The Tempest,✔,✔,Yes,william-shakespeare/the-tempest,—,—
William Shakespeare,The Famous History of the Life of King Henry the Eighth,✔,✔,Yes,william-shakespeare/henry-viii,—,—
William Shakespeare,Sonnets,✔,✔,Yes,william-shakespeare/poetry,—,—
William Gilbert,On the Loadstone and Magnetic Bodies,✔,✔,"No, old science",—,—,—
Galileo Galilei,Dialogues Concerning the Two New Sciences,✔,✔,Yes,,,
William Harvey,On the Motion of the Heart and Blood in Animals,✔,✔,"No, old science",—,—,—
William Harvey,On the Circulation of Blood,✔,✔,"No, old science",—,—,—
William Harvey,On the Generation of Animals,✔,✔,"No, old science",—,—,—
Miguel de Cervantes,Don Quixote,✔,✔,Yes,miguel-de-cervantes-saavedra/don-quixote/john-ormsby,—,—
Sir Francis Bacon,The Advancement of Learning,✔,✔,Yes,,https://gutenberg.org/ebooks/5500,
Sir Francis Bacon,Novum Organum,✔,✔,Yes,,https://gutenberg.org/ebooks/45988,
Sir Francis Bacon,New Atlantis,✔,✔,Yes,,https://gutenberg.org/ebooks/2434,
René Descartes,Rules for the Direction of the Mind,✔,✔,"No, too short",—,—,—
René Descartes,Discourse on the Method,✔,✔,Yes,,"https://gutenberg.org/ebooks/59
https://gutenberg.org/ebooks/25830",
René Descartes,Meditations on First Philosophy,✔,✔,"Yes, omnibus?",,,
René Descartes,Objections Against the Meditations and Replies,✔,✔,"Yes, omnibus?",,,
René Descartes,The Geometry,✔,✔,Yes,,,appendix to Discourse on the Method
Benedict de Spinoza,Ethics,✔,✔,Yes,,https://gutenberg.org/ebooks/3800,
John Milton,English Minor Poems,✔,✔,Yes,,"https://gutenberg.org/ebooks/31706
https://gutenberg.org/ebooks/1745",
John Milton,Paradise Lost,✔,✔,Yes,john-milton/paradise-lost,—,—
John Milton,Samson Agonistes,✔,✔,Yes,,,
John Milton,Areopagitica,✔,✔,"No, too short",—,—,—
Blaise Pascal,The Provincial Letters,✔,✔,Yes,,,
Blaise Pascal,Pensées,✔,✔,Yes,,https://gutenberg.org/ebooks/18269,
Blaise Pascal,Scientific and mathematical essays,✔,✔,No?,—,—,—
Sir Isaac Newton,Mathematical Principles of Natural Philosophy,✔,✔,Yes,,,
Sir Isaac Newton,Optics,✔,✔,Less notable,—,—,—
Christiaan Huygens,Treatise on Light,✔,✔,No,—,—,—
John Locke,A Letter Concerning Toleration,✔,✔,"No, too short",—,—,—
John Locke,"Concerning Civil Government, Second Essay",✔,✔,Yes,,,
John Locke,An Essay Concerning Human Understanding,✔,✔,Yes,,https://gutenberg.org/ebooks/10615,
George Berkeley,The Principles of Human Knowledge,✔,✔,"No, short",—,https://gutenberg.org/ebooks/4723,—
David Hume,An Enquiry Concerning Human Understanding,✔,✔,Yes,,https://gutenberg.org/ebooks/9662,
Jonathan Swift,Gulliver’s Travels,✔,✔,Yes,jonathan-swift/gullivers-travels,—,—
Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",✔,✗,Yes,laurence-sterne/the-life-and-opinions-of-tristram-shandy-gentleman,—,—
Charles de Secondat,The Spirit of the Laws,✔,✔,Yes,,https://archive.org/details/spiritoflaws01montuoft/,
Jean‐Jacques Rousseau,A Discourse on the Origin of Inequality,✔,✔,"Yes, omnibus",,"https://gutenberg.org/ebooks/11136
https://gutenberg.org/ebooks/46333",
Jean‐Jacques Rousseau,A Discourse on Political Economy,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/46333,
Jean‐Jacques Rousseau,The Social Contract,✔,✔,Yes,,https://gutenberg.org/ebooks/46333,
Adam Smith,An Inquiry into the Nature and Causes of the Wealth of Nations,✔,✔,Yes,adam-smith/the-wealth-of-nations,—,—
Edward Gibbon,The Decline and Fall of the Roman Empire,✔,✔,Yes,,https://gutenberg.org/ebooks/25717,
Immanuel Kant,The Critique of Pure Reason,✔,✔,Yes,,https://gutenberg.org/ebooks/4280,
Immanuel Kant,Fundamental Principles of the Metaphysic of Morals,✔,✔,Yes,,https://gutenberg.org/ebooks/5682,
Immanuel Kant,Critique of Practical Reason,✔,✔,Yes,,https://gutenberg.org/ebooks/5683,
Immanuel Kant,Excerpts from The Metaphysics of Morals,✔,✔,Yes,,https://gutenberg.org/ebooks/5684,
Immanuel Kant,The Critique of Judgement,✔,✔,Yes,,https://gutenberg.org/ebooks/48433,
Henry Fielding,"The History of Tom Jones, a Foundling",✔,✗,Yes,henry-fielding/the-history-of-tom-jones-a-foundling,—,—
American State Papers,Declaration of Independence,✔,✔,No,—,—,—
American State Papers,Articles of Confederation,✔,✔,No,—,—,—
American State Papers,The Constitution of the United States of America,✔,✔,No,—,—,—
"Alexander Hamilton,
James Madison,
John Jay",The Federalist,✔,✔,Yes,alexander-hamilton_john-jay_james-madison/the-federalist-papers,—,—
John Stuart Mill,On Liberty,✔,✔,Yes,john-stuart-mill/on-liberty,—,—
John Stuart Mill,Considerations on Representative Government,✔,✔,Yes,,https://www.gutenberg.org/ebooks/5669,
John Stuart Mill,Utilitarianism,✔,✔,"Short, omnibus?",,https://www.gutenberg.org/ebooks/11224,
James Boswell,"The Life of Samuel Johnson, LL.D.",✔,✔,Yes,,https://www.gutenberg.org/ebooks/1564,
Antoine Laurent Lavoisier,Elements of Chemistry,✔,✔,"No, outdated science",—,—,—
Jean Baptiste Joseph Fourier,Analytical Theory of Heat,✔,✔,"No, outdated science",—,—,—
Michael Faraday,Experimental Researches in Electricity,✔,✔,"No, outdated science",—,—,—
Georg Wilhelm Friedrich Hegel,The Philosophy of Right,✔,✔,Yes,,,
Georg Wilhelm Friedrich Hegel,The Philosophy of History,✔,✔,Yes,,"https://www.gutenberg.org/ebooks/51635
https://www.gutenberg.org/ebooks/51636
https://www.gutenberg.org/ebooks/58169",
Johann Wolfgang von Goethe,Faust,✔,✔,Yes,,https://gutenberg.org/ebooks/14591,
Herman Melville,"Moby Dick; or, The Whale",✔,✔,Yes,herman-melville/moby-dick,—,—
Charles Darwin,The Origin of Species by Means of Natural Selection,✔,✔,Yes,charles-darwin/the-origin-of-species,—,—
Charles Darwin,"The Descent of Man, and Selection in Relation to Sex",✔,✔,Yes,,https://gutenberg.org/ebooks/2300,
Karl Marx,Capital,✔,✔,Yes,,,
Karl Marx and Friedrich Engels,Manifesto of the Communist Party,✔,✔,Yes,karl-marx_friedrich-engels/the-communist-manifesto/samuel-moore,—,—
Count Leo Tolstoy,War and Peace,✔,✔,Yes,leo-tolstoy/war-and-peace/louise-maude_aylmer-maude,—,—
Fyodor Mikhailovich Dostoevsky,The Brothers Karamazov,✔,✔,Yes,fyodor-dostoevsky/the-brothers-karamazov/constance-garnett,—,—
William James,The Principles of Psychology,✔,✔,Yes,,"https://gutenberg.org/ebooks/57628
https://gutenberg.org/ebooks/57634",
Sigmund Freud,The Origin and Development of Psycho‐Analysis,✔,✔,???,,,
Sigmund Freud,Selected Papers on Hysteria,✔,✔,???,,,
Sigmund Freud,The Sexual Enlightenment of Children,✔,✔,???,,,
Sigmund Freud,The Future Prospects of Psycho‐Analytic Therapy,✔,✔,???,,,
Sigmund Freud,Observations on “Wild” Psycho‐Analysis,✔,✔,???,,,
Sigmund Freud,The Interpretation of Dreams,✔,✔,Yes,,,
Sigmund Freud,On Narcissism,✔,✔,???,,,
Sigmund Freud,Instincts and Their Vicissitudes,✔,✔,???,,,
Sigmund Freud,Repression,✔,✔,???,,,
Sigmund Freud,The Unconscious,✔,✔,???,,,
Sigmund Freud,A General Introduction to Psycho‐Analysis,✔,✔,Yes,,https://gutenberg.org/ebooks/38219,
Sigmund Freud,Beyond the Pleasure Principle,✔,✔,???,,,
Sigmund Freud,Group Psychology and the Analysis of the Ego,✔,✔,Yes,,https://gutenberg.org/ebooks/35877,
Sigmund Freud,The Ego and the Id,✔,✔,???,,,
Sigmund Freud,"Inhibitions, Symptoms, and Anxiety",✔,✔,???,,,
Sigmund Freud,Thoughts for the Times on War and Death,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/35875,
Sigmund Freud,Civilization and Its Discontents,✔,✔,???,,,
Sigmund Freud,New Introductory Lectures on Psycho‐Analysis,✔,✔,???,,,
John Calvin,Institutes of the Christian Religion,✗,✔,Yes,,"https://gutenberg.org/ebooks/author/6425
https://gutenberg.org/ebooks/45001",
Erasmus,The Praise of Folly,✗,✔,Yes,,https://gutenberg.org/ebooks/30201,
Molière,The School for Wives,✗,✔,Yes,,,
Molière,The Critique of the School for Wives,✗,✔,Yes,,,
Molière,Tartuffe,✗,✔,Yes,moliere/tartuffe/curtis-hidden-page,—,—
Molière,Don Juan,✗,✔,Yes,,,
Molière,The Miser,✗,✔,Yes,,https://gutenberg.org/ebooks/6923,
Molière,The Miser,✗,✔,Yes,,https://gutenberg.org/ebooks/6923,
Molière,The Would‐Be Gentleman,✗,✔,Yes,,https://gutenberg.org/ebooks/2992,
Molière,The Imaginary Invalid,✗,✔,Yes,,https://gutenberg.org/ebooks/9070,
Jean Racine,Bérénice,✗,✔,Yes,,,
Jean Racine,Phèdre,✗,✔,Yes,,https://gutenberg.org/ebooks/1977,
Voltaire,Candide,✗,✔,Yes,voltaire/candide/the-modern-library,—,—
Denis Diderot,Rameau’s Nephew,✗,✔,"No, short",,https://gutenberg.org/ebooks/1977,
Søren Kierkegaard,Fear and Trembling,✗,✔,Yes,,,
Friedrich Nietzsche,Beyond Good and Evil,✗,✔,Yes,friedrich-nietzsche/beyond-good-and-evil/helen-zimmern,—,—
Alexis de Tocqueville,Democracy in America,✗,✔,Yes,,"https://gutenberg.org/ebooks/815
https://gutenberg.org/ebooks/816",
Honoré de Balzac,Cousin Bette,✗,✔,Yes,,https://gutenberg.org/ebooks/1749,
Jane Austen,Emma,✗,✔,Yes,jane-austen/emma,—,—
George Eliot,Middlemarch,✗,✔,Yes,george-eliot/middlemarch,—,—
Charles Dickens,Little Dorrit,✗,✔,Yes,charles-dickens/little-dorrit,—,—
Mark Twain,Huckleberry Finn,✗,✔,Yes,mark-twain/the-adventures-of-huckleberry-finn,—,—
Henrik Ibsen,A Doll’s House,✗,✔,Yes,henrik-ibsen/a-dolls-house/r-farquharson-sharp,—,—
Henrik Ibsen,The Wild Duck,✗,✔,Yes,,,
Henrik Ibsen,Hedda Gabler,✗,✔,Yes,henrik-ibsen/hedda-gabler/edmund-gosse_william-archer,—,—
Henrik Ibsen,The Master Builder,✗,✔,Yes,,https://gutenberg.org/ebooks/4070,
William James,Pragmatism,✗,✔,Yes,,https://gutenberg.org/ebooks/5116,
Henry Bergson,An Introduction to Metaphysics,✗,✔,???,,,
John Dewey,Experience and Education,✗,✔,"No, copyrighted",—,—,—
Alfred North Whitehead,Science and the Modern World,✗,✔,Yes,,,
Bertrand Russell,The Problems of Philosophy,✗,✔,Yes,bertrand-russell/the-problems-of-philosophy,—,—
Martin Heidegger,What Is Metaphysics?,✗,✔,"No, translation copyrighted",—,—,—
Ludwig Wittgenstein,Philosophical Investigations,✗,✔,"No, copyrighted",—,—,—
Karl Barth,The Word of God and the Word of Man,✗,✔,"No, translation copyrighted",—,—,—
Henri Poincaré,Science and Hypothesis,✗,✔,Yes,,https://gutenberg.org/ebooks/37157,
Max Planck,Scientific Autobiography and Other Papers,✗,✔,"No, translation copyrighted",—,—,—
Henry North Whitehead,An Introduction to Mathematics,✗,✔,Yes,,https://gutenberg.org/ebooks/41568,
Albert Einstein,Relativity: The Special and the General Theory,✗,✔,Yes,,https://gutenberg.org/ebooks/5001,
Arthur Eddington,The Expanding Universe,✗,✔,Copyright expires 2029,—,—,—
Niels Bohr,Atomic Theory and the Description of Nature,✗,✔,Copyright expires 2030,—,—,—
Niels Bohr,Discussion with Einstein on Epistemology,✗,✔,Too short,—,—,—
