67,Robert Penn Warren,All the King’s Men,2042,—,—
68,Malcolm Lowry,Under the Volcano,2043,—,—
69,Elizabeth Bowen,The Heat of the Day,2044,—,—
70,George Orwell,Nineteen Eighty-Four,2045,—,—
71,Graham Greene,The End of the Affair,2047,—,—
72,JD Salinger,The Catcher in the Rye,2047,—,—
73,Saul Bellow,The Adventures of Augie March,2049,—,—
74,William Golding,Lord of the Flies,2050,—,—
75,Vladimir Nabokov,Lolita,2051,—,—
76,Jack Kerouac,On the Road,2053,—,—
77,Patrick White,Voss,2053,—,—
78,Harper Lee,To Kill a Mockingbird,2056,—,—
79,Muriel Spark,The Prime of Miss Jean Brodie,2056,—,—
80,Joseph Heller,Catch-22,2057,—,—
81,Doris Lessing,The Golden Notebook,2058,—,—
82,Anthony Burgess,A Clockwork Orange,2058,—,—
83,Christopher Isherwood,A Single Man,2060,—,—
84,Truman Capote,In Cold Blood,2062,—,—
85,Sylvia Plath,The Bell Jar,2062,—,—
86,Philip Roth,Portnoy’s Complaint,2065,—,—
87,Elizabeth Taylor,Mrs Palfrey at the Claremont,2077,—,—
88,John Updike,Rabbit Redux,2077,—,—
89,Toni Morrison,Song of Solomon,2073,—,—
90,VS Naipaul,A Bend in the River,2089,—,—
91,Salman Rushdie,Midnight’s Children,2092+,—,—
92,Marilynne Robinson,Housekeeping,2092+,—,—
93,Martin Amis,Money: A Suicide Note,2092+,—,—
94,Kazuo Ishiguro,An Artist of the Floating World,2092+,—,—
95,Penelope Fitzgerald,The Beginning of Spring,2071,—,—
96,Anne Tyler,Breathing Lessons,2092+,—,—
97,John McGahern,Amongst Women,2077,—,—
98,Don DeLillo,Underworld,2092+,—,—
99,JM Coetzee,Disgrace,2092+,—,—
100,Peter Carey,True History of the Kelly Gang,2092+,—,—
