Position,Author,Work,PD,Suitable for SE,Exists on SE
89,Henry Green,Loving,2041,—,—
90,Salman Rushdie,Midnight’s Children,2092+,—,—
91,Erskine Caldwell,Tobacco Road,2028,Yes,
92,William Kennedy,Ironweed,2092+,—,—
93,John Fowles,The Magus,2061,—,—
94,Jean Rhys,Wide Sargasso Sea,2062,—,—
95,Iris Murdoch,Under the Net,2050,—,—
96,William Styron,Sophie’s Choice,2077,—,—
97,Paul Bowles,The Sheltering Sky,2045,—,—
98,James M. Cain,The Postman Always Rings Twice,2030,Yes,
99,J.P. Donleavy,The Ginger Man,2051,—,—
100,Booth Tarkington,The Magnificent Ambersons,Yes,Yes,booth-tarkington/the-magnificent-ambersons
